application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission
50,Male,False,3.38,STEM,Hispanic,680.0,5.0,Consulting,Not Admit
51,Male,False,3.26,Business,White,670.0,6.0,Consulting,Waitlist
52,Male,False,3.43,Business,Asian,650.0,4.0,Nonprofit/Gov,Not Admit
53,Male,False,3.19,Business,White,650.0,5.0,Financial Services,Not Admit
54,Female,False,3.23,STEM,Asian,700.0,6.0,PE/VC,Admit
55,Male,False,2.96,STEM,Black,610.0,6.0,Consulting,Not Admit
56,Female,False,3.44,STEM,Black,680.0,4.0,PE/VC,Not Admit
57,Male,False,3.09,Business,Other,610.0,6.0,Consulting,Not Admit
58,Female,True,3.05,Business,,650.0,7.0,Health Care,Admit
59,Male,True,3.01,Humanities,,660.0,6.0,Consulting,Not Admit
60,Male,False,3.41,Humanities,White,740.0,4.0,Financial Services,Not Admit
61,Female,False,3.27,Business,White,670.0,5.0,Consulting,Admit
62,Male,False,3.13,Humanities,Black,630.0,5.0,Financial Services,Not Admit
63,Female,True,3.0,STEM,,640.0,3.0,Financial Services,Admit
64,Male,False,3.36,STEM,Black,650.0,5.0,Technology,Not Admit
65,Female,False,3.39,Humanities,White,680.0,5.0,Investment Banking,Admit
66,Male,True,3.31,Business,,670.0,4.0,Nonprofit/Gov,Not Admit
67,Male,False,3.07,STEM,Other,570.0,6.0,Other,Not Admit
68,Male,False,3.53,STEM,White,690.0,5.0,Technology,Not Admit
69,Male,False,3.49,Business,Black,620.0,4.0,Energy,Not Admit
70,Male,False,3.41,Humanities,White,690.0,6.0,Technology,Admit
71,Male,True,3.34,STEM,,690.0,5.0,Nonprofit/Gov,Not Admit
72,Female,False,3.33,Humanities,Hispanic,680.0,5.0,Consulting,Waitlist
73,Female,True,3.34,STEM,,680.0,5.0,PE/VC,Admit
74,Female,True,2.89,Humanities,,670.0,5.0,Consulting,Admit
75,Female,True,3.35,Business,,640.0,5.0,PE/VC,Admit
76,Female,False,3.24,Humanities,Hispanic,590.0,4.0,Nonprofit/Gov,Waitlist
77,Male,False,3.18,Humanities,Black,640.0,4.0,PE/VC,Not Admit
78,Male,True,3.2,Humanities,,640.0,5.0,Nonprofit/Gov,Not Admit
79,Male,False,3.17,Business,Hispanic,640.0,4.0,Other,Not Admit
80,Female,False,3.1,STEM,Asian,680.0,4.0,Health Care,Admit
81,Male,False,2.93,Humanities,Hispanic,620.0,4.0,Technology,Not Admit
82,Male,True,3.2,STEM,,730.0,4.0,PE/VC,Not Admit
83,Male,False,3.52,STEM,Hispanic,610.0,6.0,Consulting,Not Admit
84,Female,False,3.35,Humanities,White,710.0,6.0,Consulting,Admit
85,Male,False,3.15,STEM,Hispanic,620.0,4.0,PE/VC,Not Admit
86,Male,False,3.21,Business,Hispanic,640.0,6.0,Nonprofit/Gov,Not Admit
87,Male,False,3.1,Business,Hispanic,670.0,7.0,Financial Services,Not Admit
88,Male,False,3.48,Business,White,710.0,5.0,Consulting,Admit
89,Male,False,3.15,Humanities,Asian,650.0,6.0,Consulting,Not Admit
90,Male,False,3.09,Business,Other,610.0,6.0,Consulting,Not Admit
91,Female,False,3.14,Humanities,Hispanic,660.0,6.0,Consulting,Not Admit
92,Male,False,2.97,STEM,Asian,580.0,4.0,Consulting,Not Admit
93,Male,False,3.17,STEM,White,670.0,5.0,PE/VC,Not Admit
94,Female,False,3.23,Humanities,White,620.0,7.0,Nonprofit/Gov,Admit
95,Female,False,3.05,Humanities,White,600.0,5.0,Other,Admit
96,Male,False,3.32,Business,Black,670.0,4.0,Consulting,Admit
97,Male,False,3.08,Humanities,Asian,640.0,5.0,Technology,Not Admit
98,Male,True,3.36,STEM,,690.0,5.0,CPG,Not Admit
99,Male,False,3.1,Humanities,White,610.0,5.0,Health Care,Not Admit
100,Female,False,3.38,Humanities,White,660.0,5.0,Consulting,Admit
101,Male,False,3.26,Humanities,Hispanic,650.0,6.0,Real Estate,Not Admit
102,Male,False,3.2,Humanities,Hispanic,600.0,4.0,Investment Banking,Not Admit
103,Male,False,3.65,Humanities,Black,700.0,6.0,Health Care,Not Admit
104,Female,True,3.34,Business,,650.0,5.0,Financial Services,Admit
105,Female,False,3.3,Humanities,Hispanic,670.0,4.0,Nonprofit/Gov,Admit
106,Male,False,3.11,Business,Asian,610.0,6.0,PE/VC,Not Admit
107,Male,True,3.08,Humanities,,740.0,4.0,Health Care,Not Admit
108,Male,False,3.2,STEM,White,590.0,5.0,Consulting,Not Admit
109,Male,True,3.3,STEM,,590.0,5.0,Other,Not Admit
110,Male,False,3.21,Humanities,Black,610.0,4.0,PE/VC,Not Admit
111,Female,False,3.26,Humanities,Black,670.0,6.0,Consulting,Not Admit
112,Female,False,3.29,STEM,Hispanic,640.0,6.0,Investment Banking,Not Admit
113,Female,False,3.25,Humanities,Hispanic,640.0,5.0,Other,Not Admit
114,Female,False,3.2,Humanities,Asian,680.0,7.0,Consulting,Admit
115,Female,False,3.23,STEM,Asian,610.0,5.0,Nonprofit/Gov,Admit
116,Male,False,3.32,Humanities,Hispanic,670.0,4.0,Media/Entertainment,Not Admit
117,Female,False,3.46,STEM,White,660.0,5.0,Consulting,Admit
118,Female,False,3.29,Humanities,Black,610.0,4.0,Consulting,Not Admit
119,Male,False,3.33,Humanities,White,680.0,4.0,Financial Services,Admit
120,Female,True,2.99,Humanities,,570.0,6.0,Real Estate,Admit
121,Male,False,3.22,Business,Black,610.0,5.0,Technology,Not Admit
122,Female,True,3.29,Business,,710.0,4.0,Consulting,Admit
123,Male,True,3.26,Humanities,,650.0,4.0,PE/VC,Not Admit
124,Male,False,3.25,Humanities,Asian,620.0,6.0,Technology,Not Admit
125,Male,True,3.32,STEM,,630.0,6.0,Technology,Not Admit
126,Male,False,3.44,Business,White,740.0,6.0,PE/VC,Not Admit
127,Male,True,3.4,Humanities,,730.0,5.0,Nonprofit/Gov,Not Admit
128,Female,False,3.51,Humanities,Black,700.0,7.0,Nonprofit/Gov,Not Admit
129,Female,False,3.43,Humanities,Black,710.0,7.0,Other,Not Admit
130,Female,False,3.27,Business,White,660.0,6.0,Other,Admit
131,Male,False,3.34,Humanities,White,700.0,4.0,Consulting,Admit
132,Male,False,3.07,Humanities,Other,640.0,6.0,Other,Not Admit
133,Male,True,3.36,Humanities,,670.0,2.0,PE/VC,Not Admit
134,Male,False,3.21,Humanities,White,690.0,7.0,Real Estate,Not Admit
135,Female,False,3.28,Humanities,White,610.0,6.0,Consulting,Admit
136,Female,False,3.06,Business,Black,650.0,5.0,Consulting,Not Admit
137,Male,False,3.32,Business,White,670.0,4.0,Financial Services,Not Admit
138,Male,True,3.33,Humanities,,670.0,5.0,Consulting,Not Admit
139,Female,False,3.31,STEM,Asian,600.0,5.0,Investment Banking,Admit
140,Male,False,3.16,STEM,Hispanic,570.0,5.0,Technology,Not Admit
141,Male,False,3.2,STEM,Asian,600.0,6.0,Consulting,Not Admit
142,Male,True,3.17,STEM,,600.0,4.0,Investment Banking,Not Admit
143,Female,True,3.48,STEM,,780.0,5.0,PE/VC,Admit
144,Male,False,3.1,STEM,Asian,570.0,5.0,Nonprofit/Gov,Not Admit
145,Male,False,2.95,Business,Asian,590.0,5.0,Investment Management,Not Admit
146,Male,False,3.32,Humanities,White,570.0,6.0,Technology,Not Admit
147,Male,False,3.24,Humanities,Black,660.0,7.0,Investment Management,Not Admit
148,Female,False,3.21,STEM,Black,580.0,6.0,Financial Services,Not Admit
149,Male,False,3.32,Humanities,Asian,660.0,4.0,Investment Banking,Not Admit
150,Male,False,3.2,Humanities,Hispanic,630.0,6.0,Technology,Not Admit
151,Male,False,3.37,Business,Asian,710.0,5.0,Technology,Admit
152,Male,False,3.14,Humanities,Asian,620.0,5.0,Technology,Not Admit
153,Female,True,3.32,Humanities,,650.0,5.0,Real Estate,Admit
154,Female,True,3.13,Business,,580.0,4.0,Consulting,Admit
155,Female,False,3.55,Humanities,Asian,680.0,6.0,PE/VC,Admit
156,Male,False,3.22,STEM,White,620.0,5.0,PE/VC,Not Admit
157,Male,True,3.42,STEM,,630.0,6.0,Financial Services,Not Admit
158,Female,False,3.18,STEM,Asian,650.0,6.0,Nonprofit/Gov,Admit
159,Male,True,3.14,STEM,,620.0,6.0,Nonprofit/Gov,Not Admit
160,Male,True,3.24,Humanities,,680.0,7.0,PE/VC,Not Admit
161,Male,False,3.3,Business,White,630.0,3.0,PE/VC,Not Admit
162,Female,False,3.2,STEM,White,610.0,4.0,Consulting,Admit
163,Male,False,3.41,Humanities,Black,710.0,4.0,PE/VC,Not Admit
164,Male,True,3.03,STEM,,570.0,5.0,Consulting,Not Admit
165,Male,False,3.3,Humanities,Asian,640.0,9.0,Consulting,Not Admit
166,Female,False,3.17,STEM,White,600.0,4.0,Nonprofit/Gov,Admit
167,Female,False,3.43,Business,White,680.0,3.0,Consulting,Admit
168,Male,False,3.36,STEM,Black,700.0,5.0,PE/VC,Admit
169,Female,True,3.15,STEM,,650.0,5.0,Investment Banking,Admit
170,Female,False,3.23,Business,Black,680.0,6.0,Health Care,Admit
171,Female,False,3.36,Humanities,Asian,710.0,4.0,CPG,Admit
172,Male,False,3.0,STEM,Asian,570.0,6.0,Financial Services,Not Admit
173,Male,False,3.25,Humanities,Asian,640.0,7.0,PE/VC,Not Admit
174,Male,False,3.15,Humanities,Hispanic,620.0,3.0,PE/VC,Not Admit
175,Female,True,3.17,STEM,,630.0,6.0,Nonprofit/Gov,Admit
176,Male,False,2.97,STEM,Asian,610.0,6.0,Technology,Not Admit
177,Female,False,3.25,Humanities,White,670.0,5.0,Consulting,Admit
178,Male,False,3.33,Humanities,Other,640.0,3.0,Other,Not Admit
179,Male,False,3.43,Business,Asian,680.0,3.0,Consulting,Not Admit
180,Male,True,3.17,Humanities,,670.0,4.0,Technology,Not Admit
181,Male,True,3.4,Business,,750.0,4.0,Nonprofit/Gov,Not Admit
182,Male,False,3.24,STEM,Black,600.0,5.0,Investment Management,Not Admit
183,Male,False,3.34,Humanities,White,700.0,5.0,Consulting,Admit
184,Male,True,3.29,Humanities,,660.0,6.0,Energy,Not Admit
185,Male,True,3.04,Business,,660.0,6.0,Nonprofit/Gov,Not Admit
186,Male,True,3.4,Humanities,,690.0,6.0,Other,Admit
187,Male,True,3.01,Humanities,,670.0,6.0,Technology,Not Admit
188,Male,False,3.54,STEM,Hispanic,700.0,5.0,Other,Not Admit
189,Male,False,3.23,STEM,White,710.0,6.0,PE/VC,Not Admit
190,Male,True,3.15,Humanities,,650.0,6.0,Consulting,Not Admit
191,Female,False,3.32,Humanities,White,730.0,5.0,Nonprofit/Gov,Admit
192,Male,False,3.47,Business,Asian,690.0,7.0,Investment Management,Not Admit
193,Female,False,3.29,Business,Black,590.0,3.0,Real Estate,Not Admit
194,Male,False,3.2,STEM,Asian,690.0,5.0,Energy,Not Admit
195,Female,True,3.48,Humanities,,670.0,5.0,Financial Services,Admit
196,Female,False,3.14,Business,White,600.0,3.0,Nonprofit/Gov,Admit
197,Male,True,3.45,Humanities,,620.0,5.0,Consulting,Not Admit
198,Male,False,3.31,STEM,Hispanic,620.0,3.0,PE/VC,Not Admit
199,Female,False,3.6,Humanities,Other,670.0,5.0,Consulting,Admit
200,Male,False,3.5,STEM,Hispanic,700.0,6.0,Investment Management,Admit
201,Male,False,3.61,Business,Hispanic,690.0,5.0,Technology,Not Admit
202,Male,False,3.11,STEM,Black,650.0,5.0,Financial Services,Not Admit
203,Male,True,3.1,Humanities,,580.0,6.0,Consulting,Not Admit
204,Male,True,3.06,STEM,,620.0,6.0,Nonprofit/Gov,Not Admit
205,Male,True,3.18,Business,,630.0,3.0,Nonprofit/Gov,Not Admit
206,Male,False,3.05,Humanities,White,570.0,8.0,Consulting,Not Admit
207,Male,False,3.45,Humanities,Other,700.0,6.0,Consulting,Admit
208,Female,True,3.26,Business,,630.0,6.0,Consulting,Admit
209,Male,False,3.35,Business,White,660.0,5.0,Consulting,Admit
210,Female,False,3.23,Business,White,670.0,5.0,Nonprofit/Gov,Admit
211,Male,True,3.11,Business,,640.0,4.0,Nonprofit/Gov,Not Admit
212,Female,False,3.44,Business,White,750.0,5.0,Technology,Admit
213,Female,False,3.14,Humanities,Black,580.0,5.0,Technology,Not Admit
214,Female,False,3.24,Business,White,660.0,6.0,Technology,Admit
215,Male,True,3.43,Humanities,,610.0,5.0,Technology,Not Admit
216,Male,False,3.27,STEM,Asian,600.0,5.0,PE/VC,Not Admit
217,Male,False,3.41,Humanities,Asian,670.0,5.0,Consulting,Not Admit
218,Female,False,3.02,Humanities,Asian,570.0,4.0,Consulting,Admit
219,Male,False,3.24,STEM,White,670.0,3.0,Consulting,Not Admit
220,Male,False,3.23,STEM,Black,630.0,5.0,Technology,Not Admit
221,Male,False,3.09,Humanities,Asian,690.0,5.0,Other,Not Admit
222,Male,False,3.64,STEM,Black,680.0,4.0,PE/VC,Not Admit
223,Male,False,3.71,STEM,White,720.0,6.0,Other,Not Admit
224,Female,False,3.19,Business,Asian,630.0,5.0,Investment Banking,Admit
225,Female,False,3.24,STEM,Asian,670.0,4.0,Consulting,Admit
226,Male,False,3.01,Humanities,Asian,610.0,4.0,PE/VC,Not Admit
227,Male,False,3.4,Business,Asian,630.0,4.0,Consulting,Not Admit
228,Female,False,3.18,Humanities,Black,650.0,5.0,Consulting,Not Admit
229,Male,True,3.39,Humanities,,650.0,6.0,Other,Not Admit
230,Female,False,3.06,STEM,Hispanic,640.0,6.0,Nonprofit/Gov,Not Admit
231,Male,True,3.01,Business,,610.0,6.0,Technology,Not Admit
232,Male,False,3.34,Business,Asian,590.0,5.0,PE/VC,Not Admit
233,Male,True,3.34,STEM,,680.0,8.0,Technology,Not Admit
234,Male,True,3.33,STEM,,720.0,5.0,Nonprofit/Gov,Admit
235,Male,False,3.4,STEM,Black,680.0,4.0,Other,Not Admit
236,Male,False,3.02,STEM,Black,590.0,5.0,Consulting,Not Admit
237,Male,False,3.49,Humanities,White,720.0,3.0,Consulting,Not Admit
238,Male,False,3.45,Humanities,White,710.0,4.0,PE/VC,Not Admit
239,Male,False,3.33,Humanities,White,660.0,5.0,Media/Entertainment,Not Admit
240,Female,False,3.27,Humanities,Black,680.0,5.0,Health Care,Not Admit
241,Female,False,3.15,Business,White,620.0,6.0,Technology,Admit
242,Female,False,3.11,STEM,Asian,620.0,4.0,Financial Services,Admit
243,Male,True,3.15,Humanities,,590.0,5.0,Investment Management,Not Admit
244,Male,False,3.11,Business,Asian,600.0,7.0,PE/VC,Not Admit
245,Male,False,3.17,Business,Asian,640.0,6.0,Other,Not Admit
246,Female,False,3.02,STEM,Asian,570.0,5.0,Other,Admit
247,Male,True,3.04,STEM,,630.0,5.0,Other,Not Admit
248,Male,False,3.22,STEM,White,650.0,5.0,PE/VC,Not Admit
249,Male,True,3.77,STEM,,780.0,5.0,Consulting,Not Admit
250,Female,False,3.31,Business,Hispanic,590.0,5.0,Nonprofit/Gov,Not Admit
251,Male,False,3.3,Humanities,Asian,660.0,4.0,Investment Banking,Not Admit
252,Male,False,3.26,Humanities,White,690.0,4.0,Nonprofit/Gov,Not Admit
253,Male,False,3.1,Humanities,White,570.0,5.0,Financial Services,Not Admit
254,Female,False,3.61,Humanities,Black,740.0,6.0,Health Care,Admit
255,Female,False,3.33,Business,Black,620.0,5.0,Consulting,Not Admit
256,Male,True,3.28,Humanities,,750.0,3.0,Nonprofit/Gov,Not Admit
257,Female,False,3.47,STEM,Black,730.0,4.0,Technology,Not Admit
258,Male,True,3.27,Humanities,,640.0,4.0,Investment Banking,Not Admit
259,Male,False,3.33,STEM,Black,670.0,3.0,Technology,Not Admit
260,Female,False,3.28,Humanities,Black,650.0,5.0,PE/VC,Not Admit
261,Male,True,3.32,Humanities,,750.0,4.0,Consulting,Not Admit
262,Male,False,3.1,Business,Black,620.0,6.0,Consulting,Not Admit
263,Male,False,3.21,Business,White,630.0,6.0,Investment Management,Not Admit
264,Male,False,3.12,Humanities,Hispanic,620.0,4.0,PE/VC,Not Admit
265,Male,True,3.05,Humanities,,600.0,5.0,Technology,Not Admit
266,Male,False,3.31,Humanities,White,620.0,5.0,Nonprofit/Gov,Not Admit
267,Male,False,3.28,STEM,White,600.0,5.0,Consulting,Not Admit
268,Male,False,2.95,Humanities,Hispanic,600.0,5.0,Nonprofit/Gov,Not Admit
269,Female,False,3.19,STEM,Hispanic,690.0,4.0,PE/VC,Not Admit
270,Female,True,3.34,Humanities,,670.0,5.0,Nonprofit/Gov,Admit
271,Female,True,3.34,Business,,620.0,4.0,Consulting,Admit
272,Male,False,3.43,Humanities,Other,680.0,5.0,Other,Not Admit
273,Female,False,3.23,Humanities,Other,670.0,6.0,Investment Banking,Admit
274,Male,False,3.31,STEM,Asian,650.0,4.0,Investment Banking,Not Admit
275,Male,True,3.3,STEM,,650.0,5.0,Technology,Not Admit
276,Female,False,3.05,Humanities,Asian,630.0,5.0,Consulting,Admit
277,Male,False,3.52,Humanities,White,770.0,3.0,Investment Banking,Not Admit
278,Female,False,3.15,Business,Black,570.0,5.0,Financial Services,Not Admit
279,Female,False,3.11,Business,Black,660.0,6.0,Technology,Not Admit
280,Male,False,3.05,Business,Asian,610.0,5.0,PE/VC,Not Admit
281,Male,True,3.04,Business,,570.0,5.0,PE/VC,Not Admit
282,Male,False,3.3,Business,White,650.0,6.0,Technology,Not Admit
283,Male,False,3.58,Business,White,740.0,4.0,Investment Banking,Admit
284,Female,False,2.97,Humanities,Asian,590.0,4.0,Nonprofit/Gov,Admit
285,Male,False,3.29,STEM,Black,630.0,5.0,PE/VC,Not Admit
286,Female,False,3.49,Business,Asian,780.0,6.0,PE/VC,Admit
287,Female,True,3.33,STEM,,640.0,7.0,Consulting,Admit
288,Male,False,3.14,Business,Hispanic,580.0,2.0,PE/VC,Not Admit
289,Male,False,3.42,STEM,Asian,750.0,3.0,Media/Entertainment,Admit
290,Male,True,3.18,STEM,,600.0,4.0,Technology,Not Admit
291,Male,False,2.98,Business,Asian,630.0,7.0,Nonprofit/Gov,Not Admit
292,Female,True,2.99,Humanities,,630.0,6.0,Nonprofit/Gov,Admit
293,Male,False,3.1,Business,White,600.0,7.0,Nonprofit/Gov,Not Admit
294,Female,False,3.35,Business,Asian,670.0,5.0,Technology,Admit
295,Male,False,2.95,Humanities,Asian,570.0,4.0,Consulting,Not Admit
296,Male,False,3.16,Business,Asian,580.0,5.0,Consulting,Not Admit
297,Female,True,3.34,Humanities,,570.0,5.0,Consulting,Admit
298,Male,False,3.14,Business,Black,660.0,5.0,Financial Services,Not Admit
299,Male,False,3.1,STEM,Asian,630.0,4.0,PE/VC,Not Admit
300,Male,False,3.21,Humanities,White,660.0,3.0,Nonprofit/Gov,Not Admit
301,Male,False,3.37,Business,Hispanic,690.0,5.0,Nonprofit/Gov,Not Admit
302,Male,False,3.36,Business,Asian,720.0,4.0,Technology,Admit
303,Male,False,3.2,Humanities,Hispanic,650.0,6.0,Technology,Not Admit
304,Female,False,3.15,Business,Black,620.0,6.0,Consulting,Not Admit
305,Male,False,3.53,STEM,Asian,660.0,5.0,Investment Banking,Admit
306,Female,False,3.24,Humanities,Hispanic,660.0,6.0,Consulting,Not Admit
307,Female,False,3.25,Humanities,Asian,710.0,6.0,Technology,Admit
308,Female,False,3.34,Humanities,Asian,760.0,4.0,PE/VC,Admit
309,Male,False,3.16,STEM,Asian,650.0,5.0,Health Care,Not Admit
310,Male,False,3.4,STEM,White,630.0,5.0,Investment Banking,Not Admit
311,Male,False,3.49,Business,Other,700.0,5.0,Investment Management,Admit
312,Male,False,3.17,Humanities,Hispanic,670.0,2.0,Investment Banking,Not Admit
313,Male,False,3.3,Business,White,650.0,4.0,PE/VC,Not Admit
314,Female,False,3.25,Humanities,Asian,580.0,5.0,Consulting,Admit
315,Male,False,3.33,Business,White,580.0,5.0,Consulting,Not Admit
316,Female,False,3.29,Humanities,Asian,700.0,4.0,Investment Management,Admit
317,Male,False,3.32,Humanities,White,700.0,6.0,PE/VC,Not Admit
318,Female,True,3.33,STEM,,680.0,4.0,Health Care,Admit
319,Female,False,3.32,Humanities,White,630.0,5.0,Consulting,Admit
320,Male,False,3.03,Humanities,Asian,590.0,4.0,Consulting,Not Admit
321,Male,False,3.44,Business,Black,650.0,6.0,Investment Banking,Not Admit
322,Female,True,3.24,STEM,,610.0,5.0,Other,Admit
323,Female,False,3.36,Humanities,Black,650.0,6.0,Technology,Not Admit
324,Female,True,3.14,Humanities,,580.0,5.0,Nonprofit/Gov,Admit
325,Male,False,3.2,STEM,Asian,710.0,4.0,Other,Not Admit
326,Male,False,3.1,Humanities,Hispanic,570.0,5.0,Health Care,Not Admit
327,Male,False,3.37,Humanities,White,660.0,4.0,Consulting,Not Admit
328,Male,True,3.31,Humanities,,610.0,6.0,Technology,Not Admit
329,Male,False,3.34,STEM,White,750.0,6.0,Other,Not Admit
330,Male,False,3.38,Business,Asian,570.0,4.0,Other,Not Admit
331,Female,False,3.32,Humanities,Hispanic,600.0,5.0,Financial Services,Not Admit
332,Male,True,3.33,Business,,670.0,5.0,Consulting,Admit
333,Male,False,3.23,STEM,White,600.0,5.0,Other,Not Admit
334,Male,True,3.06,STEM,,630.0,5.0,Financial Services,Not Admit
335,Male,True,3.01,Business,,570.0,7.0,Real Estate,Not Admit
336,Female,False,3.21,Humanities,White,700.0,6.0,PE/VC,Admit
337,Male,False,3.5,Humanities,Asian,670.0,5.0,Nonprofit/Gov,Not Admit
338,Female,True,3.29,Humanities,,690.0,4.0,Financial Services,Admit
339,Male,True,3.2,Business,,650.0,5.0,Consulting,Not Admit
340,Male,True,3.11,Humanities,,600.0,5.0,Consulting,Not Admit
341,Female,False,3.1,Business,Other,620.0,6.0,Real Estate,Admit
342,Male,False,3.39,Business,White,730.0,6.0,Investment Banking,Not Admit
343,Male,True,3.28,Business,,660.0,4.0,Technology,Not Admit
344,Female,False,3.18,STEM,White,590.0,6.0,Nonprofit/Gov,Admit
345,Female,False,2.96,Humanities,White,580.0,7.0,Financial Services,Admit
346,Male,True,3.58,STEM,,710.0,5.0,Investment Banking,Admit
347,Female,False,3.35,STEM,White,700.0,5.0,Technology,Admit
348,Male,False,3.16,STEM,Black,650.0,5.0,Technology,Not Admit
349,Male,False,3.1,STEM,White,620.0,4.0,Other,Not Admit
350,Male,False,3.17,STEM,Hispanic,700.0,5.0,Consulting,Not Admit
351,Male,False,3.2,Business,Asian,690.0,5.0,Consulting,Not Admit
352,Female,True,3.09,Humanities,,660.0,6.0,Financial Services,Admit
353,Female,False,3.47,Humanities,White,760.0,4.0,Technology,Admit
354,Male,False,3.24,STEM,White,630.0,6.0,Consulting,Not Admit
355,Male,False,3.28,STEM,Black,720.0,5.0,PE/VC,Admit
356,Male,False,3.37,STEM,White,690.0,5.0,Consulting,Admit
357,Female,True,3.31,Humanities,,630.0,6.0,Nonprofit/Gov,Admit
358,Female,True,3.03,Humanities,,660.0,5.0,Consulting,Admit
359,Male,True,3.05,Humanities,,580.0,3.0,Consulting,Not Admit
360,Male,False,3.06,Humanities,Asian,600.0,5.0,PE/VC,Not Admit
361,Male,False,3.41,Humanities,Black,620.0,4.0,Consulting,Not Admit
362,Male,True,3.46,Humanities,,650.0,7.0,Health Care,Not Admit
363,Male,False,3.16,STEM,Black,620.0,5.0,Consulting,Not Admit
364,Male,False,3.06,Business,Other,630.0,5.0,Other,Not Admit
365,Female,False,3.42,Humanities,White,700.0,6.0,Consulting,Admit
366,Female,False,3.27,Business,White,660.0,4.0,Consulting,Admit
367,Male,True,3.08,STEM,,580.0,6.0,PE/VC,Not Admit
368,Male,False,3.27,Humanities,Black,690.0,6.0,Other,Not Admit
369,Male,False,3.22,Business,Asian,580.0,5.0,Investment Banking,Not Admit
370,Female,False,3.16,Humanities,White,620.0,5.0,Technology,Admit
371,Male,True,3.39,STEM,,710.0,6.0,Investment Banking,Not Admit
372,Male,False,3.22,STEM,White,570.0,6.0,Other,Not Admit
373,Female,False,3.12,Business,Hispanic,570.0,4.0,PE/VC,Not Admit
374,Female,True,3.21,STEM,,600.0,4.0,Consulting,Admit
375,Female,False,3.01,Humanities,Black,660.0,8.0,Technology,Not Admit
